company_id,type,rule_id,text,confidence_pct
ADANIPOWER,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,67.17
ADANIPOWER,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,81.5
ADANIPOWER,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ADANIPOWER,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ADANIPOWER,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIPOWER,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ADANIPOWER,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
AMBUJACEM,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
AMBUJACEM,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
AMBUJACEM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79.23
AMBUJACEM,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75.0
AMBUJACEM,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,67.65
APOLLOHOSP,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
APOLLOHOSP,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,97.26
APOLLOHOSP,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,82.2
APOLLOHOSP,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,94.9
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
APOLLOHOSP,con,CON_9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
ASIANPAINT,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,82.39
ASIANPAINT,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
ASIANPAINT,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,65.55
ASIANPAINT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ASIANPAINT,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,74.2
ASIANPAINT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.95
ASIANPAINT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ASIANPAINT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79.5
ATGL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,78.86
ATGL,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77.18
ATGL,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.75
ATGL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ATGL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.15
ATGL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.58
AXISBANK,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
AXISBANK,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
AXISBANK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BAJAJ-AUTO,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80.91
BAJAJ-AUTO,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
BAJAJ-AUTO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BAJAJ-AUTO,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,85.9
BAJAJ-AUTO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,67.46
BAJAJFINSV,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,77.89
BAJAJFINSV,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.95
BAJAJFINSV,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,83.0
BAJAJFINSV,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.5
BAJAJFINSV,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.18
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.55
BAJAJFINSV,con,CON_2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85.0
BAJAJHLDNG,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.0
BAJAJHLDNG,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
BAJAJHLDNG,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,98.22
BAJAJHLDNG,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJAJHLDNG,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
BAJAJHLDNG,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,83.7
BAJAJHLDNG,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,72.94
BAJAJHLDNG,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BAJAJHLDNG,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
BAJFINANCE,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,83.71
BAJFINANCE,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJFINANCE,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,83.65
BAJFINANCE,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BAJFINANCE,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90.11
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.94
BAJFINANCE,con,CON_2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85.0
BANKBARODA,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69.95
BANKBARODA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BANKBARODA,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
BANKBARODA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BEL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BEL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BEL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.75
BHARTIARTL,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.0
BHARTIARTL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BHARTIARTL,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
BHARTIARTL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BHARTIARTL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BHARTIARTL,con,CON_1,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,74.14
BHEL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BHEL,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75.0
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,85.1
BHEL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.6
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,94.19
BOSCHLTD,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
BOSCHLTD,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
BOSCHLTD,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
BOSCHLTD,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,92.3
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.12
BOSCHLTD,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
BPCL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,81.94
BPCL,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.0
BPCL,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,76.58
BPCL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BPCL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,91.13
BPCL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,99.62
BPCL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
BPCL,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75.0
BRITANNIA,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BRITANNIA,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.0
BRITANNIA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BRITANNIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73.75
BRITANNIA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
CANBK,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.35
CANBK,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
CANBK,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,88.1
CANBK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
CANBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
CANBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
CHOLAFIN,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78.88
CHOLAFIN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
CHOLAFIN,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.73
CHOLAFIN,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
CHOLAFIN,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79.55
CHOLAFIN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,67.85
CHOLAFIN,con,CON_2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85.0
CIPLA,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
CIPLA,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
CIPLA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
CIPLA,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,70.45
CIPLA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
CIPLA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.66
CIPLA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,91.43
CIPLA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
COALINDIA,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,97.46
COALINDIA,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
COALINDIA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
COALINDIA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
COALINDIA,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,93.8
COALINDIA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,68.7
COALINDIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,83.06
DABUR,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,82.37
DABUR,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
DABUR,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
DABUR,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,84.2
DIVISLAB,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,79.56
DIVISLAB,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
DIVISLAB,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,69.5
DIVISLAB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
DIVISLAB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
DIVISLAB,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75.0
DIVISLAB,con,CON_9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
DLF,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
DLF,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,77.0
DLF,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
DLF,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75.8
DLF,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
DLF,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0
DLF,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,95.41
DMART,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.0
DMART,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
DMART,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.97
DMART,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,70.93
DMART,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
DMART,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.48
DMART,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.97
DMART,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
DRREDDY,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,79.21
DRREDDY,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
DRREDDY,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,69.5
DRREDDY,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.78
DRREDDY,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
DRREDDY,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82.68
DRREDDY,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
DRREDDY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,86.51
DRREDDY,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
EICHERMOT,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,82.89
EICHERMOT,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
EICHERMOT,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
EICHERMOT,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,66.5
EICHERMOT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
EICHERMOT,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,94.1
EICHERMOT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
EICHERMOT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,68.28
GAIL,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.0
GAIL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
GAIL,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75.0
GAIL,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75.0
GAIL,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75.0
GAIL,con,CON_9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
GODREJCP,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80.47
GODREJCP,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.0
GODREJCP,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
GODREJCP,con,CON_4,Company reported a net loss in the most recent financial year,95.0
GODREJCP,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75.0
GODREJCP,con,CON_9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
GODREJCP,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,83.18
GRASIM,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,83.63
GRASIM,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
GRASIM,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90.46
GRASIM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
GRASIM,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75.0
GRASIM,con,CON_9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
HAL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
HAL,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.0
HAL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,75.5
HAL,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,77.97
HAL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
HAL,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,77.7
HAL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88.28
HAL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
HAL,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75.0
HAVELLS,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85.27
HAVELLS,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.0
HAVELLS,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
HAVELLS,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
HAVELLS,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,76.0
HAVELLS,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
HAVELLS,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75.0
HCLTECH,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80.32
HCLTECH,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
HCLTECH,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
HCLTECH,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
HCLTECH,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
HDFCBANK,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78.9
HDFCBANK,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.73
HDFCBANK,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,93.3
HDFCBANK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,65.85
HDFCBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,68.83
HDFCBANK,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75.0
HDFCBANK,con,CON_6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,75.0
HDFCLIFE,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,83.24
HDFCLIFE,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77.34
HDFCLIFE,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HDFCLIFE,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
HDFCLIFE,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
HDFCLIFE,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75.0
HEROMOTOCO,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85.9
HEROMOTOCO,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
HEROMOTOCO,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
HEROMOTOCO,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HEROMOTOCO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
HEROMOTOCO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
HEROMOTOCO,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,73.54
HINDALCO,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,75.0
HINDALCO,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HINDALCO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
HINDALCO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.95
HINDALCO,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
HINDALCO,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75.0
HINDALCO,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75.0
HINDALCO,con,CON_9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
HINDUNILVR,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
HINDUNILVR,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
HINDUNILVR,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
HINDUNILVR,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HINDUNILVR,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
HINDUNILVR,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,93.2
HINDUNILVR,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,68.3
